Unnamed: 0,data,gtin,ncm,des_item_norm,unidade,valor_unit_liq,qtd_geral_item,qtd_reg_consolid,volume_financeiro
35545,2024-11-03,7898040082451,2071422,FILE P SUPER FGO 1KG BDJ,UN,22.99,12.0,12,275.88
35552,2024-11-04,7898297060110,2071423,COXA E SOBRECOXA ENVELOPADA CONG,UND,12.9,3.0,1,38.7
35610,2024-11-25,7894904197712,2071300,SOBRECOXA CONGELADA SEARA 1KG,UN,14.99,1.0,1,14.99
35646,2024-12-07,7898302291195,2062200,CARNE FIGADO FRIBOI BOVINO CONG KG,KG1,12.39,46236.0,41,572864.04
35737,2024-05-04,7894351165791,2102000,CHARQUE P A,KG,33.49,2035.0,4,68152.15000000001
35771,2024-05-15,7893000005945,2071400,FILE DE PEITO FRANGO SADIA SACHET1K,KG,29.99,1.0,1,29.99
35788,2024-05-20,7894904013180,2071400,SOBRECOXA CG BDJ SE,UN,15.72,1.0,1,15.72
35796,2024-05-24,7894904013180,2071400,SOBRECOXA FGO SEARA BDJ 1KG,UN,13.99,3.0,3,41.97
35820,2024-06-02,7893000482401,2071400,FILE DE PEITO DE FRANGO SADIA BJ 1KG,UN,28.99,3.0,3,86.97
35833,2024-06-05,7894904015108,2071400,FILE PEITO SEARA FGO 1KG,UN,26.49,36.0,34,953.64
35857,2024-06-12,7894904015108,2071400,FILE DE PEITO SEARA BDJ,KG,22.95,1.0,1,22.95
35878,2024-06-18,7898302290242,2013000,PATINHO BOV RESF,KG,31.99,1596.0,1,51056.04
35943,2024-07-08,7893000526044,2101200,BACON SADIA,KG,28.54,178.0,1,5080.12
35961,2024-07-13,7893000526044,2101200,BACON SADIA,CX,36.0,402.0,1,14472.0
35985,2024-07-21,7894904015108,2071400,FILE DE PEITO SEARA BD 1KG,UN0001,26.69,18.0,18,480.42
36036,2024-08-08,7898136973793,2071210,FRANGO INTEIRO CONGELADO,KG,9.71,5.0,1,48.550000000000004
36057,2024-08-15,7898223660803,2071300,COXA E SOBRECOXA AVIGRO KG,KG,10.6,672.0,1,7123.2
36111,2024-09-02,7898297060127,2071411,PEITO DE FRANGO CONGELADO,KG,15.23,1.4863,2,22.636349
36122,2024-09-06,7898297060202,2071413,COXINHA DA ASA GUJAO BDJ 1KG,UN,14.99,1.0,1,14.99
36145,2024-09-11,7893000005945,2071422,FILE PEITO FGO SADIA ZIP 1KG PROM,UN,22.89,11.0,9,251.79000000000002
36172,2024-09-19,7894904197712,2071412,SOBRECOXA SEARA IQF,PCT9,11.9,35.0,10,416.5
36187,2024-09-24,7898136973953,2071411,PEITO DE FRANGO CONG KG,KG,14.89,7224.0,5,107565.36
36195,2024-09-27,7894904797905,2071210,FRANGO INTEIRO CG PCT SEARA,UND1,10.49,2.0,1,20.98
36226,2024-10-05,7898302290969,2102000,PASSARINHA,KG,7.49,3.08,2,23.069200000000002
36278,2024-10-21,7891164018214,2071422,FILE DE PEITO FRANGO CG AURORA BDJ 1KG,UN,26.95,1.0,1,26.95
36287,2024-10-23,7898223661046,2071300,COXA SOBCOX TEMP AVIGRO,UN,12.99,1.0,1,12.99
36365,2024-11-19,7894351165739,2102000,JABA KG,KG,41.01,378.0,1,15501.779999999999
36369,2024-11-20,7896581354150,2071300,COXAS DE FRANGO PIF PAF IQF PACOTE COM 1 KG,UN,10.99,8.0,8,87.92
36373,2024-11-21,7898297060110,2071422,COXA E SOBRECOXA CONG ENVELOPADA,UN,15.0,5.0,1,75.0
36389,2024-11-26,7894904197712,2071419,SOBRECOXA FGO SEARA IQF 1KG,UN,7.29,1.0,1,7.29
